time,open,high,low,close,volume
2025-08-31 19:25:47,600,616.27,594.94,610.38,3021158
2025-08-31 20:25:47,610.38,617.46,596.17,607.96,3158814
2025-08-31 21:25:47,607.96,616.09,606.84,613.37,19897784
2025-08-31 22:25:47,613.37,616.11,604.54,604.65,16187690
2025-08-31 23:25:47,604.65,614.03,586.77,594.83,4870749
2025-09-01 00:25:47,594.83,595.71,570.46,581.97,26260414
2025-09-01 01:25:47,581.97,582.76,557.8,568.09,24660780
2025-09-01 02:25:47,568.09,573.79,548.14,558.03,48155235
2025-09-01 03:25:47,558.03,575.95,548.61,565.88,13343162
2025-09-01 04:25:47,565.88,575.46,562.67,573.75,7258205
2025-09-01 05:25:47,573.75,585.54,567.28,584.23,30167596
2025-09-01 06:25:47,584.23,588.43,577.75,582.96,1636680
2025-09-01 07:25:47,582.96,585.01,567.64,568.89,31099394
2025-09-01 08:25:47,568.89,583.72,568.23,582.35,30330013
2025-09-01 09:25:47,582.35,588.53,579.13,588.37,30191948
2025-09-01 10:25:47,588.37,614.2,576.78,605.03,11247279
2025-09-01 11:25:47,605.03,621.35,595.16,616.35,41401360
2025-09-01 12:25:47,616.35,639.81,604.03,631.71,16435099
2025-09-01 13:25:47,631.71,637.12,621.19,622.25,14519778
2025-09-01 14:25:47,622.25,632.16,602.31,613.04,29667616
2025-09-01 15:25:47,613.04,637.48,607.41,627.05,11695819
2025-09-01 16:25:47,627.05,628.9,614.9,621.6,10950904
2025-09-01 17:25:47,621.6,632.87,617.24,622.51,24664160
2025-09-01 18:25:47,622.51,626.09,606.3,614.31,16675783
2025-09-01 19:25:47,614.31,617.13,587.23,597.55,4574408
2025-09-01 20:25:47,597.55,598.91,587.02,594.87,3871057
2025-09-01 21:25:47,594.87,597.71,579.15,586.49,11081486
2025-09-01 22:25:47,586.49,595.79,566.48,570.33,25321818
2025-09-01 23:25:47,570.33,581.67,561.9,567.27,4971415
2025-09-02 00:25:47,567.27,579.67,557.65,575.4,29640192
2025-09-02 01:25:47,575.4,580.94,574.6,577.72,34654145
2025-09-02 02:25:47,577.72,581.6,556.16,566.68,3485893
2025-09-02 03:25:47,566.68,576.02,557.21,571.17,45726164
2025-09-02 04:25:47,571.17,574.27,560.93,561.06,8095353
2025-09-02 05:25:47,561.06,581.58,551.83,576.84,9873183
2025-09-02 06:25:47,576.84,583.03,558.71,566.01,46476284
2025-09-02 07:25:47,566.01,575.02,548.02,555.45,2510231
2025-09-02 08:25:47,555.45,573.25,546.7,567.77,8150408
2025-09-02 09:25:47,567.77,592.25,559.51,580.66,43140547
2025-09-02 10:25:47,580.66,590.21,579.23,588.44,47718810
2025-09-02 11:25:47,588.44,599.76,579.37,583.2,48973470
2025-09-02 12:25:47,583.2,592.8,576.24,576.92,29216578
2025-09-02 13:25:47,576.92,589.21,567.42,581.61,15356143
2025-09-02 14:25:47,581.61,583.65,566.91,575.56,35180169
2025-09-02 15:25:47,575.56,583.09,573.38,578.76,15070031
2025-09-02 16:25:47,578.76,590.0,569.54,589.66,19468557
2025-09-02 17:25:47,589.66,592.15,578.68,588.37,2732561
2025-09-02 18:25:47,588.37,598.64,585.16,587.89,18912478
2025-09-02 19:25:47,587.89,596.88,583.89,596.44,32063478
2025-09-02 20:25:47,596.44,607.51,588.08,589.59,47251480
2025-09-02 21:25:47,589.59,599.05,575.62,585.74,23653106
2025-09-02 22:25:47,585.74,607.54,582.25,601.67,36599256
2025-09-02 23:25:47,601.67,623.72,597.8,611.54,31797420
2025-09-03 00:25:47,611.54,614.42,604.47,608.53,10879378
2025-09-03 01:25:47,608.53,613.64,603.35,612.82,33613003
2025-09-03 02:25:47,612.82,641.45,605.93,630.19,28356421
2025-09-03 03:25:47,630.19,634.4,623.6,629.07,22718942
2025-09-03 04:25:47,629.07,634.58,617.9,620.23,4633086
2025-09-03 05:25:47,620.23,641.01,612.44,632.79,33857906
2025-09-03 06:25:47,632.79,636.51,617.62,617.73,9289996
2025-09-03 07:25:47,617.73,631.46,615.41,629.12,32055722
2025-09-03 08:25:47,629.12,639.38,622.7,637.97,49766182
2025-09-03 09:25:47,637.97,645.98,619.77,629.82,40185067
2025-09-03 10:25:47,629.82,637.96,620.19,632.1,19321871
2025-09-03 11:25:47,632.1,642.84,612.44,618.92,10325749
2025-09-03 12:25:47,618.92,627.64,615.74,621.3,47735660
2025-09-03 13:25:47,621.3,643.92,612.74,632.46,2365365
2025-09-03 14:25:47,632.46,641.98,624.99,635.79,22243062
2025-09-03 15:25:47,635.79,650.03,623.9,649.53,24760386
2025-09-03 16:25:47,649.53,670.2,643.14,659.99,12514151
2025-09-03 17:25:47,659.99,666.29,655.99,658.3,1521774
2025-09-03 18:25:47,658.3,663.87,644.09,650.94,15433009
2025-09-03 19:25:47,650.94,663.72,642.06,660.12,24135040
2025-09-03 20:25:47,660.12,663.94,650.28,661.71,48585671
2025-09-03 21:25:47,661.71,689.09,658.9,676.6,16476214
2025-09-03 22:25:47,676.6,684.22,658.57,660.93,42851229
2025-09-03 23:25:47,660.93,667.55,633.13,645.33,15298568
2025-09-04 00:25:47,645.33,651.58,620.18,631.83,25532176
2025-09-04 01:25:47,631.83,651.22,624.91,648.54,20131097
2025-09-04 02:25:47,648.54,649.14,634.91,643.96,18135397
2025-09-04 03:25:47,643.96,652.15,628.9,633.71,42184427
2025-09-04 04:25:47,633.71,636.45,624.65,629.06,3321463
2025-09-04 05:25:47,629.06,642.72,623.0,631.66,12615480
2025-09-04 06:25:47,631.66,635.38,624.67,635.31,7886054
2025-09-04 07:25:47,635.31,642.2,623.58,633.39,48218674
2025-09-04 08:25:47,633.39,640.81,615.73,624.14,14642892
2025-09-04 09:25:47,624.14,633.39,609.05,611.87,7933637
2025-09-04 10:25:47,611.87,612.53,595.49,597.0,45027913
2025-09-04 11:25:47,597.0,606.31,588.94,594.23,3030159
2025-09-04 12:25:47,594.23,601.57,571.9,577.42,26192941
2025-09-04 13:25:47,577.42,577.62,555.59,560.95,48279416
2025-09-04 14:25:47,560.95,570.69,542.98,548.92,24297404
2025-09-04 15:25:47,548.92,572.74,545.39,565.17,23363076
2025-09-04 16:25:47,565.17,579.82,561.3,578.92,16432227
2025-09-04 17:25:47,578.92,586.92,553.07,562.95,8051370
2025-09-04 18:25:47,562.95,582.98,560.39,575.08,3267295
2025-09-04 19:25:47,575.08,592.53,566.28,581.7,34397133
2025-09-04 20:25:47,581.7,589.91,579.37,587.44,11976290
2025-09-04 21:25:47,587.44,605.93,581.29,594.45,19014162
2025-09-04 22:25:47,594.45,603.66,590.61,598.31,19452439
2025-09-04 23:25:47,598.31,608.33,598.1,601.61,31261177
2025-09-05 00:25:47,601.61,606.21,597.33,601.7,35161582
2025-09-05 01:25:47,601.7,610.09,590.6,592.44,10137515
2025-09-05 02:25:47,592.44,599.24,576.07,585.51,30874397
2025-09-05 03:25:47,585.51,598.7,577.99,588.31,31895181
2025-09-05 04:25:47,588.31,594.63,570.47,573.01,11996959
2025-09-05 05:25:47,573.01,594.57,572.67,588.92,34420131
2025-09-05 06:25:47,588.92,588.93,561.6,572.2,21891485
2025-09-05 07:25:47,572.2,582.3,568.45,577.71,9485893
2025-09-05 08:25:47,577.71,591.52,569.77,582.64,31668038
2025-09-05 09:25:47,582.64,590.47,576.13,589.43,45218215
2025-09-05 10:25:47,589.43,601.44,581.12,591.73,30991193
2025-09-05 11:25:47,591.73,599.36,570.35,576.73,29438903
2025-09-05 12:25:47,576.73,583.51,560.64,567.13,46755189
2025-09-05 13:25:47,567.13,587.01,565.7,583.12,1577063
2025-09-05 14:25:47,583.12,590.21,566.56,574.67,47771872
2025-09-05 15:25:47,574.67,585.73,558.31,567.6,40211352
2025-09-05 16:25:47,567.6,585.54,562.29,582.28,37189834
2025-09-05 17:25:47,582.28,596.57,581.08,588.82,46727509
2025-09-05 18:25:47,588.82,594.01,573.54,577.88,8628602
2025-09-05 19:25:47,577.88,596.74,569.75,585.65,12830526
2025-09-05 20:25:47,585.65,603.51,580.43,595.9,2100307
2025-09-05 21:25:47,595.9,599.51,573.1,582.94,43535897
2025-09-05 22:25:47,582.94,588.06,572.57,574.16,37482511
2025-09-05 23:25:47,574.16,579.27,566.2,574.03,3441757
2025-09-06 00:25:47,574.03,595.02,569.54,587.12,47471270
2025-09-06 01:25:47,587.12,593.06,581.69,584.22,1453947
2025-09-06 02:25:47,584.22,588.78,566.84,576.83,26928726
2025-09-06 03:25:47,576.83,592.97,575.29,583.6,37317809
2025-09-06 04:25:47,583.6,593.89,573.45,584.33,36853526
2025-09-06 05:25:47,584.33,594.14,583.4,585.29,32233958
2025-09-06 06:25:47,585.29,589.44,583.53,584.25,42695071
2025-09-06 07:25:47,584.25,587.18,577.97,578.1,11801981
2025-09-06 08:25:47,578.1,581.58,566.28,574.48,26882234
2025-09-06 09:25:47,574.48,581.83,547.81,558.46,4015885
2025-09-06 10:25:47,558.46,568.41,547.76,561.65,15304207
2025-09-06 11:25:47,561.65,578.07,552.15,570.01,1447823
2025-09-06 12:25:47,570.01,573.08,547.98,555.67,3934333
2025-09-06 13:25:47,555.67,561.17,553.65,553.82,9248941
2025-09-06 14:25:47,553.82,556.78,537.08,543.37,18669188
2025-09-06 15:25:47,543.37,546.91,531.93,532.23,48376289
2025-09-06 16:25:47,532.23,542.26,524.36,538.96,43852662
2025-09-06 17:25:47,538.96,556.95,533.41,550.96,30171418
2025-09-06 18:25:47,550.96,555.47,540.29,550.07,40893329
2025-09-06 19:25:47,550.07,555.97,535.56,544.93,17777000
2025-09-06 20:25:47,544.93,560.85,534.6,558.07,43227914
2025-09-06 21:25:47,558.07,570.77,549.79,568.15,23697952
2025-09-06 22:25:47,568.15,580.79,566.41,575.94,18216635
2025-09-06 23:25:47,575.94,577.78,560.53,563.52,33357285
2025-09-07 00:25:47,563.52,568.18,562.45,563.0,40719488
2025-09-07 01:25:47,563.0,568.96,560.62,561.68,10156476
2025-09-07 02:25:47,561.68,569.74,560.57,565.25,27902496
2025-09-07 03:25:47,565.25,568.97,548.26,556.47,46746683
2025-09-07 04:25:47,556.47,570.78,554.89,564.79,19242886
2025-09-07 05:25:47,564.79,583.1,560.56,576.72,47033313
2025-09-07 06:25:47,576.72,584.61,565.32,573.66,15567512
2025-09-07 07:25:47,573.66,578.22,556.58,561.21,9738764
2025-09-07 08:25:47,561.21,566.29,548.54,551.69,41348611
2025-09-07 09:25:47,551.69,564.66,547.0,554.71,47785670
2025-09-07 10:25:47,554.71,566.25,551.14,558.54,44818744
2025-09-07 11:25:47,558.54,560.54,538.13,548.71,35052355
2025-09-07 12:25:47,548.71,557.58,543.67,551.67,35596245
2025-09-07 13:25:47,551.67,567.67,549.5,559.37,41091328
2025-09-07 14:25:47,559.37,575.99,559.26,574.32,22958354
2025-09-07 15:25:47,574.32,592.87,571.39,581.9,19181830
2025-09-07 16:25:47,581.9,600.19,572.02,593.26,48084218
2025-09-07 17:25:47,593.26,594.05,575.43,578.2,3790297
2025-09-07 18:25:47,578.2,579.59,554.02,564.61,13441067
2025-09-07 19:25:47,564.61,572.34,558.74,569.0,22864668
2025-09-07 20:25:47,569.0,590.44,558.89,580.39,31781879
2025-09-07 21:25:47,580.39,589.39,573.42,574.54,38091172
2025-09-07 22:25:47,574.54,596.85,566.35,588.48,40238389
2025-09-07 23:25:47,588.48,595.15,574.31,577.31,18229258
2025-09-08 00:25:47,577.31,601.92,572.3,590.26,23653920
2025-09-08 01:25:47,590.26,593.46,574.13,581.04,48233147
2025-09-08 02:25:47,581.04,592.05,576.27,588.67,11695455
2025-09-08 03:25:47,588.67,600.59,586.03,594.47,44241246
2025-09-08 04:25:47,594.47,598.76,580.91,588.86,18917166
2025-09-08 05:25:47,588.86,603.34,579.14,591.73,15317114
2025-09-08 06:25:47,591.73,600.41,591.72,594.41,48192044
2025-09-08 07:25:47,594.41,614.07,588.73,609.1,11102620
2025-09-08 08:25:47,609.1,617.53,587.35,592.24,23930969
2025-09-08 09:25:47,592.24,601.99,587.64,591.71,6242252
2025-09-08 10:25:47,591.71,596.57,589.53,589.85,27268252
2025-09-08 11:25:47,589.85,592.75,572.51,576.18,12717927
2025-09-08 12:25:47,576.18,582.47,567.93,578.63,5941656
2025-09-08 13:25:47,578.63,587.65,561.59,565.39,28751452
2025-09-08 14:25:47,565.39,568.09,555.59,559.16,36453427
2025-09-08 15:25:47,559.16,564.27,555.7,561.55,25032084
2025-09-08 16:25:47,561.55,580.57,557.44,572.6,38118849
2025-09-08 17:25:47,572.6,577.47,553.24,563.1,31276583
2025-09-08 18:25:47,563.1,564.59,557.45,563.45,9054775
2025-09-08 19:25:47,563.45,569.97,555.46,560.03,13998794
2025-09-08 20:25:47,560.03,560.62,540.94,550.59,11564719
2025-09-08 21:25:47,550.59,551.43,540.16,543.68,49533235
2025-09-08 22:25:47,543.68,552.22,535.02,535.47,18452264
2025-09-08 23:25:47,535.47,537.05,525.36,525.42,1401254
2025-09-09 00:25:47,525.42,536.05,523.5,535.0,41881206
2025-09-09 01:25:47,535.0,544.12,522.48,531.49,22935269
2025-09-09 02:25:47,531.49,534.28,519.94,525.92,38203164
2025-09-09 03:25:47,525.92,549.51,519.95,538.79,39623457
2025-09-09 04:25:47,538.79,542.91,522.01,525.86,9379660
2025-09-09 05:25:47,525.86,528.51,507.92,517.44,49825597
2025-09-09 06:25:47,517.44,519.59,496.59,505.38,19923598
2025-09-09 07:25:47,505.38,506.6,498.52,503.29,13390622
2025-09-09 08:25:47,503.29,508.31,499.09,499.42,35314751
2025-09-09 09:25:47,499.42,516.64,497.82,513.63,18730182
2025-09-09 10:25:47,513.63,518.64,501.03,505.65,20755764
2025-09-09 11:25:47,505.65,506.94,491.17,499.51,44182876
2025-09-09 12:25:47,499.51,508.61,478.94,487.38,23003345
2025-09-09 13:25:47,487.38,504.28,481.89,498.57,41749975
2025-09-09 14:25:47,498.57,506.19,489.84,498.6,42273073
2025-09-09 15:25:47,498.6,508.22,479.16,485.23,3495631
2025-09-09 16:25:47,485.23,489.45,465.55,470.82,23950915
2025-09-09 17:25:47,470.82,471.56,460.67,467.58,40236256
2025-09-09 18:25:47,467.58,472.56,457.23,466.5,10491185
2025-09-09 19:25:47,466.5,483.01,462.83,480.24,42876062
2025-09-09 20:25:47,480.24,484.19,460.59,469.46,6194218
2025-09-09 21:25:47,469.46,489.04,464.08,480.78,9595315
2025-09-09 22:25:47,480.78,491.21,478.25,486.73,16222880
2025-09-09 23:25:47,486.73,492.44,477.17,484.54,32181660
2025-09-10 00:25:47,484.54,485.93,477.21,480.27,25395021
2025-09-10 01:25:47,480.27,498.7,471.76,488.93,36235946
2025-09-10 02:25:47,488.93,500.64,484.45,497.83,37559790
2025-09-10 03:25:47,497.83,510.17,494.0,508.19,4434480
2025-09-10 04:25:47,508.19,527.29,502.1,518.52,19530900
2025-09-10 05:25:47,518.52,528.81,517.34,519.62,26473053
2025-09-10 06:25:47,519.62,524.95,510.56,517.2,31110459
2025-09-10 07:25:47,517.2,531.32,507.34,530.3,45598520
2025-09-10 08:25:47,530.3,536.75,517.03,521.97,20063807
2025-09-10 09:25:47,521.97,531.72,514.75,515.16,35916322
2025-09-10 10:25:47,515.16,516.92,511.29,514.24,47866592
2025-09-10 11:25:47,514.24,527.5,507.24,521.34,27360672
